dd_version,champion_key,champion_id,champion_name,voiceover_set,skin,section,quote,fandom_page,runeterra_region,region_notes
16.3.1,266,Aatrox,Aatrox,Classic,,Trivia,War reveals what is within us.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,First Move,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,First Move,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,First Move,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,First Move,"Pantheon, I see you! Like a lamprey you attach yourself to a host! I will carve you from this mortal's form, and eviscerate you both!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,First Move,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,First Move,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,First Move,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,First Move,"Targon sends an aspect against me? Prepare yourself, Pantheon, I will end all that you hope to be!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,First Move,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,First Move,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,First Move,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,First Move,"Pantheon! I will crush your godhood, I will eviscerate your ideals, even your memory... I will trample!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,The true sound of my blade can only be heard when they loathe re-incarnation.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,The true sound of my blade can only be heard when they loathe re-incarnation.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,The true sound of my blade can only be heard when they loathe re-incarnation.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,The true sound of my blade can only be heard when they loathe re-incarnation.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,The only peace I seek... is death!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,The only peace I seek... is death!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,The only peace I seek... is death!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,The only peace I seek... is death!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"They will call me villain... Come, let me earn their hatred, again and forever.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"They will call me villain... Come, let me earn their hatred, again and forever.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"They will call me villain... Come, let me earn their hatred, again and forever.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"They will call me villain... Come, let me earn their hatred, again and forever.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,I am doom!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,I am doom!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,I am doom!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,I am doom!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,There is a darkness in my heart deeper than any shadow!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,There is a darkness in my heart deeper than any shadow!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,There is a darkness in my heart deeper than any shadow!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,There is a darkness in my heart deeper than any shadow!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,March toward vengeance... Drown this world in blood!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,March toward vengeance... Drown this world in blood!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,March toward vengeance... Drown this world in blood!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,March toward vengeance... Drown this world in blood!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"Patience, Aatrox! Patience! Your freedom will come!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"Patience, Aatrox! Patience! Your freedom will come!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"Patience, Aatrox! Patience! Your freedom will come!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"Patience, Aatrox! Patience! Your freedom will come!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,Their screams will be like the soothing hum of insects at dusk.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,Their screams will be like the soothing hum of insects at dusk.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,Their screams will be like the soothing hum of insects at dusk.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,Their screams will be like the soothing hum of insects at dusk.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"For my imprisonment, they will suffer!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"For my imprisonment, they will suffer!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"For my imprisonment, they will suffer!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"For my imprisonment, they will suffer!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"Challenge me, mortals! I am here!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"Challenge me, mortals! I am here!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"Challenge me, mortals! I am here!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"Challenge me, mortals! I am here!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"They think me defeated, enchained. But I am unbowed... Noble is this carnage.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"They think me defeated, enchained. But I am unbowed... Noble is this carnage.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"They think me defeated, enchained. But I am unbowed... Noble is this carnage.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"They think me defeated, enchained. But I am unbowed... Noble is this carnage.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"Primitives worship me, hoping for mercy. I shall give them death.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"Primitives worship me, hoping for mercy. I shall give them death.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"Primitives worship me, hoping for mercy. I shall give them death.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"Primitives worship me, hoping for mercy. I shall give them death.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,I will drown them in oceans of blood!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,I will drown them in oceans of blood!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,I will drown them in oceans of blood!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,I will drown them in oceans of blood!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"I will snuff out the light, I shall make darkness eternal!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"I will snuff out the light, I shall make darkness eternal!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"I will snuff out the light, I shall make darkness eternal!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"I will snuff out the light, I shall make darkness eternal!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"I am oblivion, I am destruction... I am doom.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"I am oblivion, I am destruction... I am doom.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"I am oblivion, I am destruction... I am doom.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"I am oblivion, I am destruction... I am doom.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,I march to death... Though I wish it was my own...,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,I march to death... Though I wish it was my own...,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,I march to death... Though I wish it was my own...,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,I march to death... Though I wish it was my own...,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,My suffering... I will make it bloom.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,My suffering... I will make it bloom.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,My suffering... I will make it bloom.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,My suffering... I will make it bloom.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,I must destroy even hope.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,I must destroy even hope.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,I must destroy even hope.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,I must destroy even hope.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,I will render these mortals' forms into my own!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,I will render these mortals' forms into my own!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,I will render these mortals' forms into my own!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,I will render these mortals' forms into my own!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"Gods and mortals, they deserve only death!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"Gods and mortals, they deserve only death!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"Gods and mortals, they deserve only death!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"Gods and mortals, they deserve only death!",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"As long as this form lives, I will punish them.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"As long as this form lives, I will punish them.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"As long as this form lives, I will punish them.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"As long as this form lives, I will punish them.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,I stood against the void. Now... I would welcome it.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,I stood against the void. Now... I would welcome it.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,I stood against the void. Now... I would welcome it.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,I stood against the void. Now... I would welcome it.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,This cursed form... This crude decaying flesh! I loathe it!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,This cursed form... This crude decaying flesh! I loathe it!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,This cursed form... This crude decaying flesh! I loathe it!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,This cursed form... This crude decaying flesh! I loathe it!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"I am your reckoner, mortals.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"I am your reckoner, mortals.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,"I am your reckoner, mortals.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,"I am your reckoner, mortals.",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,Let them lament... my name.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,Let them lament... my name.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,Let them lament... my name.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,Let them lament... my name.,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,They will call me a god killer!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,They will call me a god killer!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,They will call me a god killer!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,They will call me a god killer!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,Am I the abyss? Or did I gaze into it?,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,Am I the abyss? Or did I gaze into it?,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,Am I the abyss? Or did I gaze into it?,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,Am I the abyss? Or did I gaze into it?,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,Kneel mortals! So I may split your shoulders from your spine!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,Kneel mortals! So I may split your shoulders from your spine!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Odyssey,Moving,Kneel mortals! So I may split your shoulders from your spine!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Lunar Eclipse,Moving,Kneel mortals! So I may split your shoulders from your spine!,Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Justicar,Moving,"I am not a king, I am not a god, I am... worse...",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
16.3.1,266,Aatrox,Aatrox,Classic,Mecha,Moving,"I am not a king, I am not a god, I am... worse...",Aatrox/LoL/Audio,Shurima,Darkin; ancient Shuriman Ascended
