dd_version,champion_key,champion_id,champion_name,champion_region,effective_region,voiceover_set,resolved_skin_name,resolved_skinline_name,skin_universe,section,quote
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,There is a darkness in my heart deeper than any shadow!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,There is a darkness in my heart deeper than any shadow!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,There is a darkness in my heart deeper than any shadow!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,March toward vengeance... Drown this world in blood!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,March toward vengeance... Drown this world in blood!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,March toward vengeance... Drown this world in blood!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,March toward vengeance... Drown this world in blood!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Patience, Aatrox! Patience! Your freedom will come!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Patience, Aatrox! Patience! Your freedom will come!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Patience, Aatrox! Patience! Your freedom will come!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Patience, Aatrox! Patience! Your freedom will come!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,Their screams will be like the soothing hum of insects at dusk.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,Their screams will be like the soothing hum of insects at dusk.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,Their screams will be like the soothing hum of insects at dusk.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,Their screams will be like the soothing hum of insects at dusk.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"For my imprisonment, they will suffer!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"For my imprisonment, they will suffer!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"For my imprisonment, they will suffer!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"For my imprisonment, they will suffer!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Challenge me, mortals! I am here!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Challenge me, mortals! I am here!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Challenge me, mortals! I am here!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Challenge me, mortals! I am here!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"They think me defeated, enchained. But I am unbowed... Noble is this carnage."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"They think me defeated, enchained. But I am unbowed... Noble is this carnage."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"They think me defeated, enchained. But I am unbowed... Noble is this carnage."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"They think me defeated, enchained. But I am unbowed... Noble is this carnage."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Primitives worship me, hoping for mercy. I shall give them death."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Primitives worship me, hoping for mercy. I shall give them death."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Primitives worship me, hoping for mercy. I shall give them death."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Primitives worship me, hoping for mercy. I shall give them death."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,I will drown them in oceans of blood!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,I will drown them in oceans of blood!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,I will drown them in oceans of blood!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,I will drown them in oceans of blood!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"I will snuff out the light, I shall make darkness eternal!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"I will snuff out the light, I shall make darkness eternal!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"I will snuff out the light, I shall make darkness eternal!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"I will snuff out the light, I shall make darkness eternal!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"I am oblivion, I am destruction... I am doom."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"I am oblivion, I am destruction... I am doom."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"I am oblivion, I am destruction... I am doom."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"I am oblivion, I am destruction... I am doom."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,I march to death... Though I wish it was my own...
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,I march to death... Though I wish it was my own...
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,I march to death... Though I wish it was my own...
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,I march to death... Though I wish it was my own...
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,My suffering... I will make it bloom.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,My suffering... I will make it bloom.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,My suffering... I will make it bloom.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,My suffering... I will make it bloom.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,I must destroy even hope.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,I must destroy even hope.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,I must destroy even hope.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,I must destroy even hope.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,I will render these mortals' forms into my own!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,I will render these mortals' forms into my own!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,I will render these mortals' forms into my own!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,I will render these mortals' forms into my own!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Gods and mortals, they deserve only death!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Gods and mortals, they deserve only death!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Gods and mortals, they deserve only death!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Gods and mortals, they deserve only death!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"As long as this form lives, I will punish them."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"As long as this form lives, I will punish them."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"As long as this form lives, I will punish them."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"As long as this form lives, I will punish them."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,I stood against the void. Now... I would welcome it.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,I stood against the void. Now... I would welcome it.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,I stood against the void. Now... I would welcome it.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,I stood against the void. Now... I would welcome it.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,This cursed form... This crude decaying flesh! I loathe it!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,This cursed form... This crude decaying flesh! I loathe it!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,This cursed form... This crude decaying flesh! I loathe it!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,This cursed form... This crude decaying flesh! I loathe it!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"I am your reckoner, mortals."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"I am your reckoner, mortals."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"I am your reckoner, mortals."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"I am your reckoner, mortals."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,Let them lament... my name.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,Let them lament... my name.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,Let them lament... my name.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,Let them lament... my name.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,They will call me a god killer!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,They will call me a god killer!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,They will call me a god killer!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,They will call me a god killer!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,Am I the abyss? Or did I gaze into it?
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,Am I the abyss? Or did I gaze into it?
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,Am I the abyss? Or did I gaze into it?
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,Am I the abyss? Or did I gaze into it?
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,Kneel mortals! So I may split your shoulders from your spine!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,Kneel mortals! So I may split your shoulders from your spine!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,Kneel mortals! So I may split your shoulders from your spine!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,Kneel mortals! So I may split your shoulders from your spine!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"I am not a king, I am not a god, I am... worse..."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"I am not a king, I am not a god, I am... worse..."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"I am not a king, I am not a god, I am... worse..."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"I am not a king, I am not a god, I am... worse..."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"We had another name once... Now, we are Darkin."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"We had another name once... Now, we are Darkin."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"We had another name once... Now, we are Darkin."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"We had another name once... Now, we are Darkin."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"My darkness was not born, it was forged by my prison."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"My darkness was not born, it was forged by my prison."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"My darkness was not born, it was forged by my prison."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"My darkness was not born, it was forged by my prison."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"All that lives, I will end!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"All that lives, I will end!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"All that lives, I will end!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"All that lives, I will end!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Those who call me enemy, I welcome them."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Those who call me enemy, I welcome them."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Those who call me enemy, I welcome them."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Those who call me enemy, I welcome them."
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,I cannot die... until all life ends.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,I cannot die... until all life ends.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,I cannot die... until all life ends.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,I cannot die... until all life ends.
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Carnage, hate, yes! I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Carnage, hate, yes! I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Carnage, hate, yes! I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Carnage, hate, yes! I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Behold, the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Behold, the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Behold, the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Behold, the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,Death to all! The World-Ender awaits!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,Death to all! The World-Ender awaits!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,Death to all! The World-Ender awaits!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,Death to all! The World-Ender awaits!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Now, I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Now, I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Now, I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Now, I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,I bring silence! I am the World-Ender!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,I bring silence! I am the World-Ender!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,I bring silence! I am the World-Ender!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,I bring silence! I am the World-Ender!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"Quiet yourselves, the World-Ender is here!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"Quiet yourselves, the World-Ender is here!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"Quiet yourselves, the World-Ender is here!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"Quiet yourselves, the World-Ender is here!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,"I am Aatrox, I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,"I am Aatrox, I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,"I am Aatrox, I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Lunar Eclipse,,,Moving,"I am Aatrox, I am the World-Ender!"
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Justicar,,,Moving,There is no escape from the World-Ender!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Mecha,,,Moving,There is no escape from the World-Ender!
16.7.1,266,Aatrox,Aatrox,Runeterra,Runeterra,Classic,Odyssey,,,Moving,There is no escape from the World-Ender!
